[2026-02-13 07:55:23 : INFO] - Cache for URL: http://cloudfoods.local/privacy-policy/ has been purged, triggered by action: save_post 
[2026-02-13 07:55:23 : INFO] - Cache for author page URL: http://cloudfoods.local/author/admin/ associated with post_type: page and Title: "Privacy Policy" has been purged, triggered by action: save_post 
[2026-02-13 08:03:14 : INFO] - Cache for URL: http://cloudfoods.local/terms-and-conditions/ has been purged, triggered by action: save_post 
[2026-02-13 08:03:14 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: page and Title: "Terms and Conditions" has been purged, triggered by action: save_post 
[2026-02-13 08:03:28 : INFO] - Cache for URL: http://cloudfoods.local/terms-and-conditions/ has been purged, triggered by action: save_post 
[2026-02-13 08:03:28 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: page and Title: "Terms and Conditions" has been purged, triggered by action: save_post 
[2026-02-13 08:10:26 : INFO] - Cache for URL: http://cloudfoods.local/terms-and-conditions/ has been purged, triggered by action: save_post 
[2026-02-13 08:10:26 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: page and Title: "Terms and Conditions" has been purged, triggered by action: save_post 
[2026-02-13 08:10:56 : INFO] - Cache for URL: http://cloudfoods.local/terms-and-conditions/ has been purged, triggered by action: save_post 
[2026-02-13 08:10:56 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: page and Title: "Terms and Conditions" has been purged, triggered by action: save_post 
[2026-02-13 08:16:08 : INFO] - Cache for URL: http://cloudfoods.local/terms-and-conditions/ has been purged, triggered by action: save_post 
[2026-02-13 08:16:08 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: page and Title: "Terms and Conditions" has been purged, triggered by action: save_post 
[2026-02-13 08:25:28 : INFO] - Full Cache Purge triggered by: WPO_Page_Cache::handle_purge_single_page_cache 
[2026-02-13 08:36:36 : INFO] - Cache for URL: http://cloudfoods.local/?elementor_library=footer has been purged, triggered by action: save_post 
[2026-02-13 08:36:36 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: elementor_library and Title: "Footer" has been purged, triggered by action: save_post 
[2026-02-13 08:36:36 : INFO] - Cache for URL: http://cloudfoods.local/?elementor_library=footer has been purged, triggered by action: save_post 
[2026-02-13 08:36:36 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: elementor_library and Title: "Footer" has been purged, triggered by action: save_post 
[2026-02-13 08:36:37 : INFO] - Cache for URL: http://cloudfoods.local/?elementor_library=footer has been purged, triggered by action: save_post 
[2026-02-13 08:36:37 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: elementor_library and Title: "Footer" has been purged, triggered by action: save_post 
[2026-02-13 08:37:30 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2026-02-13 09:47:51 : INFO] - Cache for URL: http://cloudfoods.local/?elementor_library=header has been purged, triggered by action: save_post 
[2026-02-13 09:47:51 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: elementor_library and Title: "Header" has been purged, triggered by action: save_post 
[2026-02-13 09:47:51 : INFO] - Cache for URL: http://cloudfoods.local/?elementor_library=header has been purged, triggered by action: save_post 
[2026-02-13 09:47:51 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: elementor_library and Title: "Header" has been purged, triggered by action: save_post 
[2026-02-13 09:47:51 : INFO] - Cache for URL: http://cloudfoods.local/?elementor_library=header has been purged, triggered by action: save_post 
[2026-02-13 09:47:51 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: elementor_library and Title: "Header" has been purged, triggered by action: save_post 
[2026-02-13 12:25:47 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
